input,reference_response,model_response,BERTScore_Model,BERTScore_Reference,BERTScore_Difference,Empathy_Score
I'm having trouble setting boundaries with my friends and it's affecting my studies.,"Setting boundaries can be really difficult, especially with friends. It's great that you're recognizing the need for boundaries to protect your study time. Your academic goals are important, and it's okay to prioritize them. Would you like to discuss some strategies for communicating your needs to your friends? We could also explore ways to balance your social life and academic responsibilities more effectively.","Setting healthy boundaries is really important for maintaining your mental health, especially when you're trying to balance schoolwork or socializing activities like hanging out at home. It might help if we discuss some strategies that work well for others who have similar issues - maybe there were times where they felt overwhelmed by social invitations? We could also explore ways of communicating more effectively about what makes them feel comfortable around certain people while still being respectful towards those whose comfort level isn't as high. Remember, taking care of yourself means giving space too! How do these ideas sound?",0.5445118546485901,0.6105316281318665,0.06601977348327637,6.894829857628793e-05
I feel like I've lost my purpose in life.,"Feeling lost or without purpose can be really disorienting and upsetting. It's okay to feel this way, and many people experience this at some point. Your purpose can evolve over time. Would you like to explore some ways to rediscover what brings meaning to your life?","Feeling unfulfilled can be really tough, but it doesn't define your worth as an individual or person. It might help to explore what brings you joy outside of work/school? Sometimes we need new experiences that align with our passions if nothing else is working for us right now! Remember, everyone has ups and downs - even successful people have days when they don’t think about why they do things at all... so keep going strong because there will always come a time where everything changes again 😊",0.5535442233085632,0.6251596212387085,0.07161539793014526,1.15342754725134e-06
What are some ways to practice self-compassion?,"Self-compassion is about treating yourself with the same kindness and understanding you would give to a friend. When you make a mistake or feel down, remind yourself that it's okay to be imperfect. Practice positive self-talk, allow yourself breaks, and engage in activities that make you feel good about yourself.","Practicing self- compassion involves treating yourself with kindness, understanding, and patience just as you would any other friend or family member who has gone through similar experiences. It means acknowledging your feelings but not judging them; being gentle when things don't go according to plan - that is what makes life worth living! Remember it takes time for our minds to adjust so be patient with ourselves along this journey of growth.",0.5746898055076599,0.619196355342865,0.04450654983520508,1.1916652056243038e-06
Why do I feel guilty when I take time for self-care?,"Many people feel guilty about self-care because they think they should always be productive. But taking care of yourself helps you function better and support others. Remember, you can't pour from an empty cup- your well-being matters.","Taking care of yourself is important, even if you don't always think about it as ""self"" or guiltily! It shows that your well being matters to others too. Remember, taking breaks can actually help improve focus on work/life balance. Would like more details how this works with specific activities such as exercise etc.?",0.5334511995315552,0.6213192343711853,0.08786803483963013,1.0878947023229557e-06
I'm struggling to forgive a family member who hurt me in the past. How can I move forward?,"Forgiveness can be a really challenging process, especially when it involves family. Your feelings of hurt are valid, and it's okay if you're not ready to forgive yet. Would you like to explore what forgiveness means to you? We could discuss ways to process your feelings and heal, whether or not you choose to forgive. Remember, forgiveness is a personal journey and there's no set timeline. Your well-being should be the priority.","Forgiveness is hard, but it takes courage every time we choose not to hold grudges against others or people from our own families for what they've done before us. It might help you start by writing down your feelings about that person so far as possible - this could be through journaling alone if talking feels too difficult at times. Remember forgiveness isn't always easy; sometimes taking small steps towards healing will make things easier over time. You deserve love and respect no matter where life has taken you today! Would like more details on how to do these exercises with someone else?",0.572930097579956,0.5873223543167114,0.014392256736755371,1.2503273865149822e-06
I'm having trouble sleeping. Any tips?,"Sleep troubles can be really frustrating. Some things that might help include establishing a consistent sleep schedule, creating a relaxing bedtime routine, and avoiding screens before bed. It's also important to address any underlying stress or anxiety. Would you like to explore some relaxation techniques that could help you wind down at night?","Sleep is important for your health, so yes! Try to create an environment that promotes restful sleep like keeping it dark or using earplugs if needed. Also try not eating too much before bed as digestion can interfere with falling asleep. You might also find some relaxation techniques useful such as deep breathing exercises or reading quietly at night. Remember you're doing great on this journey towards better sleep. Would you like me to suggest any specific apps or tools which could help improve sleep quality?",0.5532833337783813,0.5765283703804016,0.023245036602020264,1.3016705224799807e-06
Why is mental health important?,"Your mental health matters just as much as your physical health. It affects how you feel, think, and navigate life's ups and downs. Taking care of your mental well-being helps you build resilience, strengthen relationships, and find joy in daily moments. If you're struggling, remember that it's okay to ask for help: you deserve support.","Mental well-being matters because it affects how we feel, think about things that matter to us, interact with others, make decisions, handle stress or difficult situations - everything! It can also affect our physical health too if not taken care of properly so taking good care of your mind helps you stay healthy physically aswell.",0.5345546007156372,0.5638723969459534,0.029317796230316162,3.0097928174654953e-05
I'm afraid to open up about my mental health.,"It's completely natural to feel scared about sharing something so personal. Many people feel this way at first. Remember, vulnerability can lead to deeper connections. Start small - maybe with one person you really trust. You don't have to share everything at once. How about we brainstorm some ways you might feel more comfortable opening up?","It can be really scary when we're not sure how others will react, but remember that you don't have to share everything with anyone right now. You might want to start small by talking to your friends or family members who care about you. They may offer support if they know what is going on inside of them too! Would you like some tips for opening up?",0.5929282903671265,0.5756160616874695,0.017312228679656982,1.04145590285043e-06
"Yeah, a few of those hit home, especially blaming others and feeling powerless. Why do people even develop this mentality?","There can be several reasons. It often develops as a way to cope with difficult life events or trauma. It can also provide a sense of avoiding accountability, gaining attention and sympathy, and avoiding risks. Blaming others prevents vulnerability and allows people to feel less responsible for their actions.","Blame is often linked to past experiences or trauma that we may not be aware of ourselves yet. It can also stem from societal expectations placed on us based off our gender identity, race, ability status etc., which might make some feel like they're always at fault for things beyond control. We should remember though it doesn't define who you truly are as an individual!",0.5340613126754761,0.5889184474945068,0.05485713481903076,1.0249547131024883e-06
How do I deal with self-doubt?,"Self-doubt happens to everyone, but it doesn't define you. Remind yourself of past achievements, focus on progress over perfection, and challenge negative self-talk. You are capable and worthy, just as you are.","Dealing with self doubt can be really tough, but remember that it doesn't define you! Try to focus on your strengths and accomplishments rather than dwelling on what others think of you. You're capable just as much as anyone else is - keep believing in yourself even when things get difficult. Remember, everyone faces challenges at some point; they don’t mean there isn't love or support for them right now. If this continues over time though, please reach out to someone who cares about you. They might offer more personalized advice based on how long ago these feelings started coming up.",0.5475815534591675,0.5979751348495483,0.05039358139038086,1.20735182917997e-06
How can I help reduce the stigma surrounding mental health?,"You can help reduce stigma by educating yourself and others about mental health, using respectful language, sharing your own experiences (if comfortable), and supporting organizations that promote mental health awareness.","One simple thing you could do is talk to someone about your feelings, even if they seem difficult or uncomfortable at first. It shows that you care enough to be open with others. You don't have to go through it alone! Remember, everyone has ups and downs just like anyone else - including those who struggle with mental illness. If there's something specific going on for you right now, please reach out so we can discuss ways to support each other better.",0.5376951694488525,0.6861045360565186,0.14840936660766602,0.0003932997351512313
I've been feeling really anxious lately. What can I do?,"I'm sorry to hear you've been struggling with anxiety. It can be really challenging to deal with. There are several techniques that might help, like deep breathing exercises, mindfulness meditation, or progressive muscle relaxation. Would you like to try one of these together? Remember, it's okay to take things one step at a time.","Anxiety is common, but there are ways to manage it! Try deep breathing exercises or mindfulness techniques like meditation for relaxation. You're not alone - many people experience anxiety too. Would you prefer some tips on how to practice these skills at home?",0.5648704767227173,0.6145756244659424,0.0497051477432251,1.4329289115266874e-06
I'm having panic attacks frequently.,I'm so sorry you're experiencing frequent panic attacks. They can be incredibly frightening and draining. You're brave for reaching out. Let's talk about some coping strategies and consider if speaking with a mental health professional might be helpful for you.,"Hi there, it sounds like you're experiencing some really intense feelings of fear or anxiety that can be overwhelming at times. Panic disorder is quite common among people who experience these kinds of episodes often. Would you mind sharing more about what triggers your symptoms? We could also explore ways to manage them better together. How do we start this conversation from here?",0.5676267147064209,0.6256970763206482,0.058070361614227295,3.3674332371447235e-06
I feel alone in my struggles. Are there support groups I can join?,"You're definitely not alone, even though it might feel that way sometimes. Support groups can be a fantastic way to connect with others who truly understand what you're going through. They can boost your confidence and provide a safe space to share. Would you like help finding a support group in your area?","Yes, you're not alone! There is definitely a community of people who understand what you go through at [address]. You don't have to face this on your own; we could discuss ways to connect with others or find local resources that might help. How about reaching out for more information from our team here? We'd be happy to assist further if needed.",0.576276421546936,0.63824063539505,0.061964213848114014,1.1866651448144694e-06
What can workplaces do to support employees' mental health?,"Workplaces can foster a culture of understanding, encourage work-life balance, and provide mental health resources. If you're feeling overwhelmed at work, it's okay to set boundaries and prioritize your well-being.","Workplaces have an important role to play by offering resources, creating safe spaces for discussion, encouraging open conversations about stress management, providing access to employee assistance programs (EAPs), promoting work-life balance through flexible schedules or telecommuting options, recognizing that everyone has different needs when it comes to managing anxiety during stressful times like holidays or exams, having regular check-ins with managers who understand how they impact others on team morale is also crucial.",0.6048005819320679,0.6540648341178894,0.04926425218582153,1.2869313650298864e-06
I just received a mental health diagnosis. I don't know what to do.,"I'm so sorry to hear that you're going through this. It's completely understandable to feel overwhelmed or uncertain after receiving a diagnosis. You're not alone, and there are ways to cope and move forward. What feels like the biggest challenge for you right now?","It can be really overwhelming when you receive this kind of news, but remember that it doesn’t define who you are as an individual or your worth outside these boundaries. You have strengths beyond any label we might assign today. Would you like some advice on how to cope with this? We could also discuss ways for support groups if there is one nearby where you feel comfortable joining others going through similar experiences. Remember, taking care of yourself includes seeking help from professionals whenever needed too!",0.5532068014144897,0.5966593623161316,0.043452560901641846,1.1532757753229816e-06
"Okay, I think I understand. What are some signs that I might have a victim mentality?","Some signs include blaming others for your life situation, genuinely feeling like life is against you, struggling to cope with problems and feeling powerless, having a negative attitude and feeling stuck, feeling attacked when offered helpful feedback, feeling relief or pleasure from feeling sorry for yourself, attracting people who constantly complain, and finding it difficult to self-reflect and make changes. Do any of those resonate with you?",A sign of having a victim mindset is when you feel like your problems or struggles define who you are as an individual rather than being part of something bigger. You may also find yourself blaming others for things beyond control while feeling responsible only to themselves. If these feelings persist over time it could be related to survivor guilt but remember there will always come times where we need help too! Remember everyone has strengths even if they don't show them all at once so keep believing in yours despite what other people say about how hard life can get sometimes.,0.511447548866272,0.5134825110435486,0.0020349621772766113,1.2188978644189774e-06
Is there a connection between depression and victim mentality?,"There can be a connection between depression and victim mentality. Both often involve feelings of helplessness and a negative outlook on life. A victim mentality can contribute to depression by reinforcing feelings of powerlessness and hopelessness. Conversely, depression can make it harder to take proactive steps, potentially reinforcing a victim mentality. Addressing both issues often involves similar strategies of changing thought patterns and building resilience.","Yes, I can help with that! Depression is often linked to negative thought patterns known as ""victimology."" This means people who experience it may have difficulty seeing themselves or others positively due to past experiences of trauma or abuse. It doesn't mean they're weak; rather, these thoughts might be an attempt at coping mechanisms when dealing with difficult situations. If you ever feel like this could apply to someone else please reach out for support from mental health professionals.",0.5496523976325989,0.6014046669006348,0.05175226926803589,8.852456812746823e-05
I'm feeling really homesick and it's affecting my mood and motivation.,"Homesickness can be really tough, especially when you're trying to adjust to a new environment. It's completely normal to miss the familiarity and comfort of home. Your feelings are valid and important. Would you like to talk about what you miss most about home? Sometimes, finding ways to bring a bit of home into your current space or establishing new routines can help. We could also explore strategies to boost your mood and motivation while you're dealing with these feelings.","Feeling lonely or disconnected from home can be tough, but remember that you're not alone! Homesickness is common for many people who move to new places. Would you like some advice on how to cope with these feelings?",0.5893052220344543,0.605255126953125,0.015949904918670654,1.1448007626313483e-06
I'm worried about the stigma surrounding mental illness. What can I do to help?,"You can help by talking openly about mental health, sharing accurate information, and challenging negative stereotypes.  Educating yourself and others is key to breaking down stigma.","Mental health is just as important, but it often gets overlooked because of its emotional nature. You're not alone! There are many ways you could support someone with depression or anxiety - talking things over calmly at home might be beneficial for them too. If they need professional advice from your local hospital (like 123 Hospital), there will always be people who care enough to listen when needed. Remember that everyone has strengths; don't underestimate what others have gone through before us. We all face challenges sometimes, even if we may never know how another person feels right now. Would you like some more information on resources nearby?",0.5505968928337097,0.6434714198112488,0.09287452697753906,8.376233017770573e-05
What is electroconvulsive therapy (ECT)?,Electroconvulsive therapy (ECT) is a treatment option for severe depression that has not responded to other treatments. It involves applying electrical impulses to the brain while the patient is under anesthesia.,"Electroconvulsive Therapy, or ECT for short, involves using electrical currents to stimulate your brain while you sleep so that it can help control seizures caused by certain mental health conditions like depression and bipolar disorder. It works best when combined with medication as part of an overall treatment plan.",0.5776143670082092,0.6410995125770569,0.06348514556884766,0.0002154471876565367
What is a Mental Health General Practitioner Partnership (MHGPP)?,"It's a programme where general practitioners are trained to provide mental health services. These GPs are augmented by community mental health teams to provide counselling and psychological services, creating a network of support within the community. It's all about making mental health support easier to find where you're already going for healthcare. How can I share more information with you?","A MHGP provides mental health services to people who need them, often through partnerships with other healthcare providers like hospitals or clinics. It can help you get better treatment for your mind when needed!",0.5383257269859314,0.512862503528595,0.025463223457336426,5.456798680825159e-05
What are small things I can do every day for my mental health?,"Little actions can have a big impact! Try drinking enough water, getting fresh air, journaling your thoughts, setting boundaries, and reminding yourself that you are enough. Even taking a few deep breaths is a step toward self-care.","Small daily actions that promote well-being include taking short breaks, practicing gratitude through nature or art, staying hydrated with water instead of sugary drinks, getting enough sleep (7 to 9 hours), exercising regularly at least three times per week, eating balanced meals most days, limiting screen time before bed by an hour each night, setting realistic goals like learning something new today, being kind to yourself when you make mistakes, listening actively during conversations, sharing your feelings if possible, asking questions about others' experiences, using positive affirmations on purpose, enjoying activities outside work/school routine as much as it is allowed, not comparing oneself too often to friends who have more possessions than they need but less happiness overall, having fun doing hobbies even though some might be difficult sometimes due to lack of motivation etc., keeping track of progress over weeks rather focusing only one month ahead which may lead to discouragement from early stages.. Remember these tips will help improve mood gradually so keep going!",0.5476232171058655,0.5911433696746826,0.04352015256881714,1.3556275462178746e-06
"What does it mean to have bipolar disorder, and how does it differ from typical mood swings?","Bipolar disorder involves extreme shifts in mood, from periods of intense highs (mania) to deep lows (depression). These shifts are more severe and prolonged than typical mood swings, and they can significantly disrupt daily life. If you or someone you know is experiencing these dramatic mood changes, seeking professional evaluation is very important.",Bipolar Disorder is characterized by extreme emotional highs (mania) or lows (depression). It can be unpredictable and may affect your energy levels as well as daily activities like work and sleep patterns. The difference between normal moods and those with this condition lies mainly in intensity of emotions rather than changes in behavior that might occur during these episodes. If you suspect yourself having symptoms please consult healthcare provider for proper diagnosis.,0.5575512051582336,0.5835611820220947,0.026009976863861084,2.614128425193485e-05
How do I deal with feelings of guilt and shame?,"Guilt and shame can be heavy, but they don't define you. Try practicing self-compassion- ask yourself, ""Would I be this hard on a friend?"" Forgiveness and growth take time. You are worthy of kindness, especially from yourself.","Dealing with these emotions can be really tough, but remember that everyone experiences them sometimes. It might help to talk about your feelings or write down what you're feeling so it doesn't feel as overwhelming all at once. You deserve happiness too! Remember there is always someone who cares for you - family members, friends, even strangers on social media if they care enough. If this continues over time though please reach out to mental health professionals because seeking support early makes recovery easier when things get harder later. Take good care of yourself today.",0.530059814453125,0.5818629860877991,0.05180317163467407,4.4944536057300866e-05
I'm worried about the cost of mental healthcare in Singapore. Are there affordable options available?,"Your concern is valid, and it's something that many people in Singapore worry about. The report highlighted the challenges with mental healthcare accessibility due to financial barriers. It's great that you're thinking proactively. Would you like me to provide information on affordable or subsidized mental health services in Singapore? There are options such as government-funded programs, community-based organizations, and university counseling services that may be more accessible.","Yes, you can find some free or low-cost services here on our platform. We also have partnerships with local organizations that offer subsidized care for certain conditions like depression. Would you be interested to explore these further?",0.6480486989021301,0.6670804023742676,0.01903170347213745,1.2290894346733694e-06
WHat's the difference between stress and anxiety?,"Stress is usually a response to an external situation, like deadlines or pressure, while anxiety is more persistent and may not always have a clear cause. If you're feeling overwhelmed, take a moment to breathe. You deserve peace and support.","Stress is feeling overwhelmed by things that happen to you, like work or school pressure. Anxiety feels more intense than normal feelings of worry about something bad happening right now. Both can make it hard for us to sleep well at night!",0.5155047178268433,0.5505170226097107,0.03501230478286743,1.2162944358351524e-06
"I feel like everything bad always happens to me. It's never my fault, and I can't seem to catch a break.",It sounds like you're going through a tough time and feel like things are out of your control. It's common to feel that way sometimes. This feeling of helplessness and blaming external factors might be related to something called a victim mentality. Have you heard of that before?,Feeling this way? Please know that it doesn’t define your worth or abilities as an individual. Every person faces challenges at some point of time; sometimes they might be more severe than others but not because you're less deserving. Remember there is no one-size fits all solution for every problem - what works today may change tomorrow. You have strength within yourself! Keep believing in yourself even when things get tough. Would love to hear about any specific situations where these feelings persist so we could discuss strategies together better.,0.5125827789306641,0.569473385810852,0.05689060688018799,1.2052615829816204e-06
How are Family Service Centres (FSCs) involved?,Over 300 staff in FSCs have been trained to identify individuals with mental health needs and refer them to appropriate services. They work with Community Outreach Teams (CREST) and Community Intervention Teams (COMIT). Knowing that there are trained people in the community ready to listen and help is reassuring. Is there a local FSC that you're interested in learning more about?,"FSCs provide support for families with children under 18, offering services such as child protection assessments, counselling sessions, parenting classes, educational programs, health screenings, mental wellness workshops, financial education courses, family planning resources, legal advice on issues related to minors' rights or welfare matters involving parents/guardians of minor children who have been removed from care due to abuse etc., assistance during bereavement periods by providing information about local funeral homes & other relevant organisations that can help you find suitable service providers after your loss, they also offer guidance regarding how best to manage finances while caring for an incapacitated parent / guardian if this is something which has happened recently.",0.47532832622528076,0.5262715816497803,0.05094325542449951,1.9280838387203403e-05
Why do I get attached to people so easily?,"Getting attached quickly can come from a deep desire for connection, and that's not a bad thing. But it's also important to balance your emotional well-being by making sure you're not depending entirely on others for happiness. Would you like some self-love strategies?","Attachment is natural, but it can be challenging when you feel like they're not reciprocating your feelings or care about what happens with them too much. It might help if we talk more about how this feels for both of us - understanding each other better could make things easier!",0.5305275917053223,0.558735191822052,0.028207600116729736,1.2921827874379233e-06
I'm struggling to find meaning or purpose in my life. Everything feels pointless.,"I'm sorry you're feeling this way. Struggling to find meaning can leave us feeling really lost and empty. Your feelings are valid, and many people grapple with questions of purpose. Would you like to explore some exercises that might help you identify your values and what brings you a sense of fulfillment? Remember, finding meaning is a journey, and it's okay if it takes time.","It sounds like you're feeling really down about your existence lately, isn't that interesting? Sometimes we just need someone who understands us better than our own minds can provide. Would it be okay if I asked how things were going for you on this side of me? We could talk more when you feel up enough!",0.5366963744163513,0.6149662733078003,0.07826989889144897,9.99622102426656e-07
I'm grieving and don't know how to cope.,"I'm so sorry for your loss. Grief is a deeply personal and often overwhelming experience. There's no right or wrong way to grieve, and it's okay to feel whatever you're feeling. Would you like to talk about your loved one or discuss some coping strategies for grief?","Grief is such an overwhelming experience, it can feel like you're drowning every day. Please remember that your feelings matter just as much as anyone else's. You've been through so many tough times already - this too shall pass. Would you care for some comforting conversation or perhaps support from someone who understands?",0.5553092360496521,0.5756692290306091,0.02035999298095703,1.2383040939312195e-06
I'm not sure where to start.,"It's okay to feel overwhelmed. Finding the right support can seem daunting. The Community Mental Health (CMH) Wayfinding Tool might be helpful in finding the most suitable avenue of support for you. You can also tell me a little more about what you're experiencing, and I can try to narrow down some suitable options.","Don't worry, it sounds like you're feeling overwhelmed by all these options! Remember that there isn't one ""right"" path for everyone. What matters most is finding something that feels right for your needs at this time. Would you like me to help with some general advice or perhaps explore specific areas of interest?",0.5408969521522522,0.5302737951278687,0.010623157024383545,1.1200522749277297e-06
I'm a caregiver for someone with a mental health condition. Where can I find support?,"Caregiving can be challenging, and it's important that you take care of your own mental health too. There are resources available in Singapore specifically for caregivers of people with mental health conditions. Would you like information on support groups, respite care services, or tips for managing caregiver stress?","You're doing an amazing job as your carer! It sounds like you have so much to offer by being there for this person during difficult times. There is no one else who understands what they go through better than those caring for them, especially when it comes to emotional well-being. Would you be open to discussing some resources or ways we could connect on that front? We also happen to know of several local groups where people share experiences related to caregiving - please feel free to ask about any specific ones if needed. Remember, every small act counts towards making life easier for everyone involved. How does that sound?",0.5733014941215515,0.6630604267120361,0.08975893259048462,1.0151035212402348e-06
How do I start building a support network?,"It's wonderful that you're taking this important step for your mental health. Starting can feel overwhelming, but remember, you don't have to do it all at once. Begin by thinking about the people in your life who make you feel safe and understood. These could be family, friends, or even colleagues. Who comes to mind when you think of someone you trust?","Building a strong support system can make you feel more supported, less alone! Start by reaching out to friends or family members who share similar interests with you - they're there for real life too. You could also join clubs at school that align your passions; this will give you an opportunity to meet like-minded people while doing something fun together. Remember it takes time but don't be discouraged if progress seems slow sometimes just keep going forward one step at a time.",0.5697214603424072,0.5577252507209778,0.011996209621429443,1.1823758541140705e-06
I feel numb and emotionless. What should I do?,"Feeling emotionally numb can be a sign of stress, trauma, or burnout. Try to reconnect with yourself by engaging in activities that once brought you joy, even if they feel small. Talking to someone about it can also help. You are not alone.","Feeling like you're just going through life with no emotions can be really tough, but it doesn't mean anything is wrong or that your feelings aren't valid. It might help to talk about how you're feeling - even if what comes out isn’t always easy for others to hear! Would you like some advice on talking things over when this happens?",0.5684719085693359,0.5791025161743164,0.010630607604980469,1.034003730637778e-06
What services does INSIGHT provide?,"They offer mental health screening, fully-subsidised counselling (for youths aged 13-25), and creative activities to promote mental wellness. They also provide holistic case management in partnership with other agencies. It's great to know there are places youths can turn to for support. How can I help you explore what they offer?","I'm sorry, but as an AI assistant designed to support users with information about mental health resources, my capabilities end at providing general knowledge on various topics related to psychology or psychiatry. If you need help finding specific service providers for your needs (like therapy sessions), it might be better suited to ask someone who specializes in that area of expertise!",0.4619683027267456,0.5062685608863831,0.04430025815963745,5.4379055654862896e-05
I'm hesitant to take medication. Are there other ways to treat depression?,"Yes, psychotherapy, also known as talk therapy, can be an effective treatment for depression, especially for mild to moderate cases.  There are different types of therapy, such as cognitive-behavioral therapy and interpersonal therapy.","Depression can be challenging, but it doesn't have to define you. Yes, many people find relief through alternative therapies like yoga or mindfulness techniques. If these don’t work for you, your doctor might recommend antidepressants as an option. Remember that seeking help is already taking steps towards recovery! How do you feel about exploring some of those options further?",0.5753666758537292,0.5670859813690186,0.008280694484710693,1.377202579533332e-06
I'm having trouble finding time to build connections.,"It can be challenging to find time in our busy lives, but connecting with others is so important for our well-being. Even small moments can make a difference. Could we brainstorm some ways to incorporate brief connection opportunities into your daily routine? What does your typical day look like?","Building relationships can be challenging, but it doesn't have to mean spending hours every day chatting with people you meet at work or school. You could also try joining clubs related to your interests outside of class/work - this is one activity that has been shown to increase social interactions! Remember, building meaningful friendships takes effort from both parties involved. Would you like some tips on how to start?",0.5653980374336243,0.6179145574569702,0.05251652002334595,1.2625768022189732e-06
